SKU,Name,Collection,Category,Gender,Color,Url
1121210700,,GIRLS          ,Bottoms,GIRLS          ,Dark Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/1121210700-2.JPG
1121211000,,GIRLS          ,Bottoms,GIRLS          ,Navy,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/1121211000-1.JPG
3100130200,,BOYS           ,Bottoms,BOYS           ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/3100130200-1.JPG
3107040200,,BABY-GIRL      ,Bottoms,BABY-GIRL      ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/310704-3.JPG
3107042500,,BABY-GIRL      ,Bottoms,BABY-GIRL      ,Fuchsia,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/310704-6.JPG
3107042499,,BABY-GIRL      ,Bottoms,BABY-GIRL      ,Stone Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/310704-1.JPG
3107040700,,BABY-GIRL      ,Bottoms,BABY-GIRL      ,Dark Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/310704-4.JPG
3107040600,,BABY-GIRL      ,Bottoms,BABY-GIRL      ,Black Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/310704-5.JPG
3121930200,,BOYS           ,Bottoms,BOYS           ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/3121930200-3.JPG
3121931000,,BOYS           ,Bottoms,BOYS           ,Navy,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/3121931000-2.JPG
3121930700,,BOYS           ,Bottoms,BOYS           ,Dark Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/3121930700-1.JPG
3121950500,,BOYS           ,Bottoms,BOYS           ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/3121950500-1.JPG
3121965800,,BOYS           ,Bottoms,BOYS           ,Grey,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/3121965800-1.JPG
